gene_id	gene_name	seqname	start	end	strand	gene_type	gene_status	havana_gene	full_length	exon_length	exon_num
ENSG00000230119.1	AC123900.2	chr3	33190233	33190328	-	processed_pseudogene	KNOWN	OTTHUMG00000155833.1	96	96	1
ENSG00000153558.12	FBXL2	chr3	33277025	33403662	+	protein_coding	KNOWN	OTTHUMG00000130745.7	126638	7664	210
ENSG00000153560.10	UBP1	chr3	33388336	33441371	-	protein_coding	KNOWN	OTTHUMG00000130749.4	53036	9760	100
ENSG00000252700.1	RNU7-110P	chr3	33414150	33414211	+	snRNA	KNOWN	NA	62	62	1
ENSG00000202175.1	RNA5SP128	chr3	33491983	33492098	-	rRNA	KNOWN	NA	116	116	1
ENSG00000163539.14	CLASP2	chr3	33496245	33718356	-	protein_coding	KNOWN	OTTHUMG00000156489.11	222112	15157	294
ENSG00000238008.1	COX6CP10	chr3	33554636	33554859	+	processed_pseudogene	KNOWN	OTTHUMG00000155866.1	224	224	1
ENSG00000228112.1	AC112220.2	chr3	33727250	33727604	-	processed_pseudogene	KNOWN	OTTHUMG00000155867.1	355	355	1
ENSG00000162510.5	MATN1	chr1	30711277	30723587	-	protein_coding	KNOWN	OTTHUMG00000003705.2	12311	4606	14
ENSG00000227707.1	SDAD1P3	chr3	33771963	33772295	+	processed_pseudogene	KNOWN	OTTHUMG00000155868.1	333	333	1
ENSG00000271324.1	RP11-10C24.2	chr3	33793644	33794145	-	lincRNA	NOVEL	OTTHUMG00000184931.1	502	502	1
ENSG00000271643.1	RP11-10C24.3	chr3	33795688	33796950	-	lincRNA	NOVEL	OTTHUMG00000185053.1	1263	1263	1
ENSG00000271020.1	RP11-10C24.1	chr3	33797149	33797681	-	lincRNA	NOVEL	OTTHUMG00000184932.1	533	533	1
ENSG00000170248.12	PDCD6IP	chr3	33798352	33869707	+	protein_coding	KNOWN	OTTHUMG00000130751.6	71356	9038	97
ENSG00000226320.4	AC018359.1	chr3	34159334	34562877	+	lincRNA	NOVEL	OTTHUMG00000155767.2	403544	1135	14
ENSG00000236452.1	AC123023.1	chr3	34203244	34268811	+	lincRNA	NOVEL	OTTHUMG00000155764.1	65568	555	2
ENSG00000227498.2	AC018359.3	chr3	34524818	34543880	-	lincRNA	NOVEL	OTTHUMG00000155766.2	19063	574	3
ENSG00000235534.1	FECHP1	chr3	34872641	34873854	+	processed_pseudogene	KNOWN	OTTHUMG00000155765.1	1214	1214	1
ENSG00000228767.1	KRT8P18	chr3	35215705	35217149	-	processed_pseudogene	KNOWN	OTTHUMG00000155763.1	1445	1445	1
ENSG00000186056.8	MATN1-AS1	chr1	30718504	30726827	+	antisense	NOVEL	OTTHUMG00000003706.2	8324	4024	12
ENSG00000212442.1	RNU6-243P	chr3	35256840	35256946	-	snRNA	KNOWN	NA	107	107	1
ENSG00000172995.15	ARPP21	chr3	35638945	35794496	+	protein_coding	KNOWN	OTTHUMG00000130795.14	155552	10092	215
ENSG00000230830.1	ARPP21-AS1	chr3	35650197	35651961	-	antisense	NOVEL	OTTHUMG00000156606.1	1765	542	2
ENSG00000207625.1	MIR128-2	chr3	35744476	35744559	+	miRNA	KNOWN	NA	84	84	1
ENSG00000226489.1	AC104308.2	chr3	35871866	35872198	+	processed_pseudogene	KNOWN	OTTHUMG00000155792.1	333	333	1
ENSG00000236158.1	RFC3P1	chr3	36169767	36170448	-	processed_pseudogene	KNOWN	OTTHUMG00000155793.1	682	682	1
ENSG00000144681.9	STAC	chr3	36380344	36548007	+	protein_coding	KNOWN	OTTHUMG00000130798.13	167664	4396	51
ENSG00000231382.1	NBPF21P	chr3	36616006	36637457	-	unprocessed_pseudogene	KNOWN	OTTHUMG00000155806.2	21452	1451	9
ENSG00000201315.1	RN7SKP227	chr3	36685040	36685369	+	misc_RNA	KNOWN	NA	330	330	1
ENSG00000163673.6	DCLK3	chr3	36712422	36739861	-	protein_coding	KNOWN	OTTHUMG00000155805.2	27440	5406	8
ENSG00000162511.7	LAPTM5	chr1	30732469	30757820	-	protein_coding	KNOWN	OTTHUMG00000003707.1	25352	3274	18
ENSG00000230067.3	HSPD1P6	chr3	36767117	36784167	-	transcribed_processed_pseudogene	KNOWN	OTTHUMG00000155803.1	17051	2179	3
ENSG00000279727.1	RP11-640L9.1	chr3	36819276	36822498	-	lincRNA	NOVEL	OTTHUMG00000189233.1	3223	1344	4
ENSG00000281100.1	RP11-640L9.2	chr3	36823151	36825158	-	TEC	KNOWN	OTTHUMG00000189723.1	2008	2008	1
ENSG00000168016.12	TRANK1	chr3	36826820	36945057	-	protein_coding	KNOWN	OTTHUMG00000155848.4	118238	11177	30
ENSG00000234073.1	AC011816.1	chr3	36880184	36880729	-	processed_pseudogene	KNOWN	OTTHUMG00000155851.1	546	546	1
ENSG00000210181.1	RNU6ATAC4P	chr3	36968191	36968316	-	snRNA	KNOWN	NA	126	126	1
ENSG00000272334.1	RP11-129K12.1	chr3	36973117	36973672	-	lincRNA	NOVEL	OTTHUMG00000185481.1	556	556	1
ENSG00000236165.1	PRADC1P1	chr3	36976316	36976840	+	processed_pseudogene	KNOWN	OTTHUMG00000155852.1	525	525	1
ENSG00000178567.7	EPM2AIP1	chr3	36985043	36993168	-	protein_coding	KNOWN	OTTHUMG00000185486.2	8126	8126	6
ENSG00000076242.13	MLH1	chr3	36993332	37050918	+	protein_coding	KNOWN	OTTHUMG00000130797.8	57587	3532	228
ENSG00000264773.1	MIR4420	chr1	30739156	30739232	-	miRNA	KNOWN	NA	77	77	1
ENSG00000224858.5	RPL29P11	chr3	37016523	37017014	-	processed_pseudogene	KNOWN	OTTHUMG00000155865.1	492	492	1
ENSG00000093167.16	LRRFIP2	chr3	37052656	37183689	-	protein_coding	KNOWN	OTTHUMG00000130796.32	131034	10644	163
ENSG00000206645.1	Y_RNA	chr3	37093133	37093234	-	misc_RNA	NOVEL	NA	102	102	1
ENSG00000225558.1	UBE2D3P2	chr3	37134658	37135102	+	processed_pseudogene	KNOWN	OTTHUMG00000155909.1	445	445	1
ENSG00000199594.1	RNU6-1301P	chr3	37140327	37140430	+	snRNA	KNOWN	NA	104	104	1
ENSG00000224080.1	UBE2FP1	chr3	37143512	37143958	-	processed_pseudogene	KNOWN	OTTHUMG00000155910.1	447	447	1
ENSG00000271993.1	RP11-285J16.1	chr3	37182107	37182734	+	antisense	NOVEL	OTTHUMG00000185491.1	628	628	1
ENSG00000231449.1	AC097359.2	chr3	37196204	37196666	+	processed_pseudogene	KNOWN	OTTHUMG00000155908.2	463	463	1
ENSG00000271653.1	RP11-259K5.1	chr3	37216779	37217988	+	lincRNA	NOVEL	OTTHUMG00000185096.1	1210	1210	1
ENSG00000270194.1	RP11-259K5.2	chr3	37241789	37244177	-	antisense	NOVEL	OTTHUMG00000185097.1	2389	2389	1
ENSG00000280823.1	Metazoa_SRP	chr1	30771747	30771987	-	misc_RNA	NOVEL	NA	241	241	1
ENSG00000144674.15	GOLGA4	chr3	37243177	37366751	+	protein_coding	KNOWN	OTTHUMG00000130799.6	123575	10737	130
ENSG00000230409.3	TCEA1P2	chr3	37275693	37276598	+	processed_pseudogene	KNOWN	OTTHUMG00000186574.1	906	906	1
ENSG00000222208.1	RNA5SP129	chr3	37341649	37341766	+	rRNA	KNOWN	NA	118	118	1
ENSG00000198590.10	C3orf35	chr3	37386269	37435497	+	lincRNA	KNOWN	OTTHUMG00000155923.3	49229	3072	37
ENSG00000144668.10	ITGA9	chr3	37452115	37823514	+	protein_coding	KNOWN	OTTHUMG00000130815.4	371400	8277	49
ENSG00000239105.1	RNU7-73P	chr3	37573151	37573213	-	snRNA	KNOWN	NA	63	63	1
ENSG00000235257.7	ITGA9-AS1	chr3	37745432	37861780	-	processed_transcript	NOVEL	OTTHUMG00000155924.5	116349	6651	77
ENSG00000235482.1	RPL21P135	chr3	37748110	37748900	+	processed_pseudogene	KNOWN	OTTHUMG00000155925.1	791	791	1
ENSG00000236411.1	NDUFAF4P3	chr3	37789921	37790445	-	processed_pseudogene	KNOWN	OTTHUMG00000155922.1	525	525	1
ENSG00000144677.13	CTDSPL	chr3	37861960	37984469	+	protein_coding	KNOWN	OTTHUMG00000155942.3	122510	5796	45
ENSG00000229607.1	RP5-1125N11.1	chr1	30810378	30815553	-	lincRNA	NOVEL	OTTHUMG00000003704.1	5176	444	2
ENSG00000199075.1	MIR26A1	chr3	37969404	37969480	+	miRNA	KNOWN	NA	77	77	1
ENSG00000136059.13	VILL	chr3	37988059	38007188	+	protein_coding	KNOWN	OTTHUMG00000130814.7	19130	6476	93
ENSG00000187091.12	PLCD1	chr3	38007496	38029762	-	protein_coding	KNOWN	OTTHUMG00000130813.6	22267	4314	62
ENSG00000200579.1	Y_RNA	chr3	38014568	38014669	+	misc_RNA	NOVEL	NA	102	102	1
ENSG00000008226.18	DLEC1	chr3	38039205	38124025	+	protein_coding	KNOWN	OTTHUMG00000131085.18	84821	8338	107
ENSG00000231668.2	PPP2R2DP1	chr3	38051759	38052395	+	processed_pseudogene	KNOWN	OTTHUMG00000155979.1	637	637	1
ENSG00000060971.16	ACAA1	chr3	38103129	38137242	-	protein_coding	KNOWN	OTTHUMG00000131087.5	34114	7106	146
ENSG00000201965.1	Y_RNA	chr3	38125292	38125394	-	misc_RNA	NOVEL	NA	103	103	1
ENSG00000172936.11	MYD88	chr3	38138478	38143022	+	protein_coding	KNOWN	OTTHUMG00000131083.4	4545	3989	43
ENSG00000172939.7	OXSR1	chr3	38165089	38255488	+	protein_coding	KNOWN	OTTHUMG00000131084.3	90400	6075	56
ENSG00000223382.3	RP1-65J11.1	chr1	30824228	30834284	+	lincRNA	NOVEL	OTTHUMG00000003749.5	10057	1326	7
ENSG00000172940.10	SLC22A13	chr3	38265812	38278315	+	protein_coding	KNOWN	OTTHUMG00000131086.4	12504	2555	17
ENSG00000237982.1	RP11-815I22.1	chr3	38270283	38270767	-	processed_pseudogene	KNOWN	OTTHUMG00000156004.1	485	485	1
ENSG00000144671.9	SLC22A14	chr3	38282294	38318575	+	protein_coding	KNOWN	OTTHUMG00000131082.3	36282	3659	27
ENSG00000199514.1	RNU6-235P	chr3	38303773	38303879	-	snRNA	KNOWN	NA	107	107	1
ENSG00000230123.1	DLEC1P1	chr3	38325237	38329070	-	unprocessed_pseudogene	KNOWN	OTTHUMG00000156032.1	3834	576	4
ENSG00000093217.8	XYLB	chr3	38346760	38421348	+	protein_coding	KNOWN	OTTHUMG00000131294.3	74589	5343	48
ENSG00000229589.1	ACVR2B-AS1	chr3	38451027	38454820	-	antisense	NOVEL	OTTHUMG00000156031.1	3794	2517	2
ENSG00000114739.12	ACVR2B	chr3	38453851	38493142	+	protein_coding	KNOWN	OTTHUMG00000131291.3	39292	15744	31
ENSG00000157036.11	EXOG	chr3	38496127	38542161	+	protein_coding	KNOWN	OTTHUMG00000131295.6	46035	5223	106
ENSG00000207512.1	Y_RNA	chr3	38505480	38505581	-	misc_RNA	NOVEL	NA	102	102	1
ENSG00000222784.1	RN7SKP91	chr1	30843823	30844110	+	misc_RNA	KNOWN	NA	288	288	1
ENSG00000230683.1	DDTP1	chr3	38515448	38515830	-	processed_pseudogene	KNOWN	OTTHUMG00000156076.1	383	383	1
ENSG00000232439.1	RPL18AP7	chr3	38526802	38527325	-	processed_pseudogene	KNOWN	OTTHUMG00000156165.1	524	524	1
ENSG00000183873.14	SCN5A	chr3	38548057	38649673	-	protein_coding	KNOWN	OTTHUMG00000156166.3	101617	10017	259
ENSG00000185313.6	SCN10A	chr3	38696802	38794010	-	protein_coding	KNOWN	OTTHUMG00000048245.3	97209	6418	27
ENSG00000222719.1	AC116038.1	chr3	38800296	38800394	-	miRNA	NOVEL	NA	99	99	1
ENSG00000231243.1	RP11-134J21.1	chr3	38823902	38825302	+	antisense	NOVEL	OTTHUMG00000156164.1	1401	408	3
ENSG00000168356.10	SCN11A	chr3	38845769	38950561	-	protein_coding	KNOWN	OTTHUMG00000048246.4	104793	7703	76
ENSG00000206708.1	RNU6-1227P	chr3	39025987	39026093	+	snRNA	KNOWN	NA	107	107	1
ENSG00000114742.12	WDR48	chr3	39051998	39096671	+	protein_coding	KNOWN	OTTHUMG00000155972.5	44674	7488	91
ENSG00000114745.12	GORASP1	chr3	39096659	39108363	-	protein_coding	KNOWN	OTTHUMG00000131292.4	11705	6256	123
ENSG00000162572.18	SCNN1D	chr1	1280436	1292029	+	protein_coding	KNOWN	OTTHUMG00000002081.6	11594	4025	113
ENSG00000235143.1	RP1-65J11.5	chr1	30858158	30860254	+	antisense	NOVEL	OTTHUMG00000043647.1	2097	1747	2
ENSG00000168026.15	TTC21A	chr3	39107704	39138903	+	protein_coding	KNOWN	OTTHUMG00000155973.2	31200	7677	152
ENSG00000276236.1	MIR6822	chr3	39138206	39138266	+	miRNA	KNOWN	NA	61	61	1
ENSG00000144655.13	CSRNP1	chr3	39141855	39154562	-	protein_coding	KNOWN	OTTHUMG00000131293.2	12708	3214	10
ENSG00000214305.4	Metazoa_SRP	chr3	39161270	39161520	+	misc_RNA	NOVEL	NA	251	251	1
ENSG00000168334.8	XIRP1	chr3	39183210	39192596	-	protein_coding	KNOWN	OTTHUMG00000131297.3	9387	6467	7
ENSG00000215034.4	DSTNP4	chr3	39214199	39214672	+	processed_pseudogene	KNOWN	OTTHUMG00000156247.1	474	474	1
ENSG00000168329.12	CX3CR1	chr3	39263494	39281735	-	protein_coding	KNOWN	OTTHUMG00000156249.1	18242	3655	12
ENSG00000270367.1	RP11-331G2.6	chr3	39285985	39287920	+	processed_pseudogene	KNOWN	OTTHUMG00000184341.1	1936	1936	1
ENSG00000179934.6	CCR8	chr3	39329706	39333511	+	protein_coding	KNOWN	OTTHUMG00000131290.2	3806	1318	5
ENSG00000228168.1	HNRNPA1P21	chr3	39334979	39335939	+	processed_pseudogene	KNOWN	OTTHUMG00000156248.1	961	961	1
ENSG00000162512.14	SDC3	chr1	30869467	30908761	-	protein_coding	KNOWN	OTTHUMG00000043646.1	39295	7067	15
ENSG00000238267.1	RP11-241K18.2	chr3	39338129	39338879	-	processed_pseudogene	KNOWN	OTTHUMG00000156246.1	751	476	2
ENSG00000223668.1	EEF1A1P24	chr3	39358545	39359922	+	processed_pseudogene	KNOWN	OTTHUMG00000156250.1	1378	1378	1
ENSG00000144659.9	SLC25A38	chr3	39383348	39397351	+	protein_coding	KNOWN	OTTHUMG00000131289.8	14004	2151	12
ENSG00000168028.12	RPSA	chr3	39406689	39412542	+	protein_coding	KNOWN	OTTHUMG00000131296.3	5854	3936	40
ENSG00000206760.1	SNORA6	chr3	39408389	39408539	+	snoRNA	KNOWN	NA	151	151	1
ENSG00000202363.1	SNORA62	chr3	39411054	39411206	+	snoRNA	KNOWN	NA	153	153	1
ENSG00000264724.1	AC099332.1	chr3	39417480	39417565	+	miRNA	NOVEL	NA	86	86	1
ENSG00000168314.16	MOBP	chr3	39467198	39529479	+	protein_coding	KNOWN	OTTHUMG00000131347.9	62282	9237	60
ENSG00000230757.1	NFU1P1	chr3	39643638	39644705	+	processed_pseudogene	KNOWN	OTTHUMG00000156282.1	1068	774	2
ENSG00000170011.12	MYRIP	chr3	39808914	40260321	+	protein_coding	KNOWN	OTTHUMG00000131392.2	451408	5872	139
ENSG00000266210.2	RN7SL371P	chr1	30918469	30918735	-	misc_RNA	KNOWN	NA	267	267	1
ENSG00000201570.1	RNU4-56P	chr3	39970125	39970266	+	snRNA	KNOWN	NA	142	142	1
ENSG00000280739.1	EIF1B-AS1	chr3	40173145	40309698	-	processed_transcript	KNOWN	OTTHUMG00000189530.1	136554	5433	18
ENSG00000265327.2	RN7SL411P	chr3	40209005	40209304	+	misc_RNA	KNOWN	NA	300	300	1
ENSG00000202517.1	SNORA64	chr3	40238608	40238741	+	snoRNA	NOVEL	NA	134	134	1
ENSG00000114784.3	EIF1B	chr3	40309684	40312424	+	protein_coding	KNOWN	OTTHUMG00000131388.2	2741	1912	11
ENSG00000223797.4	ENTPD3-AS1	chr3	40313802	40453329	-	antisense	NOVEL	OTTHUMG00000156074.2	139528	2961	15
ENSG00000230274.1	PGAM1P3	chr3	40322715	40323279	-	processed_pseudogene	KNOWN	OTTHUMG00000156073.1	565	565	1
ENSG00000168032.7	ENTPD3	chr3	40387156	40428619	+	protein_coding	KNOWN	OTTHUMG00000131390.3	41464	3365	37
ENSG00000188846.12	RPL14	chr3	40457292	40468587	+	protein_coding	KNOWN	OTTHUMG00000156046.6	11296	8626	39
ENSG00000177873.11	ZNF619	chr3	40477113	40490236	+	protein_coding	KNOWN	OTTHUMG00000131391.6	13124	4514	49
ENSG00000134644.14	PUM1	chr1	30931506	31065991	-	protein_coding	KNOWN	OTTHUMG00000003795.4	134486	6621	253
ENSG00000199906.1	RNU5B-2P	chr3	40498891	40499003	-	snRNA	KNOWN	NA	113	113	1
ENSG00000177842.10	ZNF620	chr3	40505992	40518736	+	protein_coding	KNOWN	OTTHUMG00000156044.2	12745	3457	18
ENSG00000172888.10	ZNF621	chr3	40524878	40574685	+	protein_coding	KNOWN	OTTHUMG00000131389.3	49808	8354	38
ENSG00000234067.1	RPL5P10	chr3	40586535	40587428	-	processed_pseudogene	KNOWN	OTTHUMG00000156008.1	894	894	1
ENSG00000226845.1	EEF1GP3	chr3	40596207	40597494	-	processed_pseudogene	KNOWN	OTTHUMG00000156007.1	1288	1288	1
ENSG00000226302.1	RP11-528N21.1	chr3	40603125	40605427	-	lincRNA	NOVEL	OTTHUMG00000156009.1	2303	717	2
ENSG00000229072.1	HMGN2P24	chr3	40699066	40699338	-	processed_pseudogene	KNOWN	OTTHUMG00000156010.1	273	273	1
ENSG00000234287.1	RP11-761N21.2	chr3	40761545	40761799	+	processed_pseudogene	KNOWN	OTTHUMG00000156012.1	255	255	1
ENSG00000231873.1	RP11-761N21.1	chr3	40766207	40862626	+	lincRNA	NOVEL	OTTHUMG00000156011.1	96420	500	3
ENSG00000233096.1	RP11-520A21.1	chr3	40970541	40971578	-	lincRNA	NOVEL	OTTHUMG00000156006.1	1038	670	2
ENSG00000237329.2	RP11-201O14.1	chr1	31036734	31037240	+	processed_pseudogene	KNOWN	OTTHUMG00000003787.3	507	507	1
ENSG00000233919.1	RP11-372H2.1	chr3	41162287	41168547	-	lincRNA	NOVEL	OTTHUMG00000156144.1	6261	610	4
ENSG00000275256.1	MRPS31P1	chr3	41189041	41189236	+	processed_pseudogene	KNOWN	OTTHUMG00000187551.1	196	196	1
ENSG00000168036.15	CTNNB1	chr3	41194837	41260096	+	protein_coding	KNOWN	OTTHUMG00000131393.5	65260	6614	114
ENSG00000168038.9	ULK4	chr3	41246599	41962430	-	protein_coding	KNOWN	OTTHUMG00000156210.3	715832	6579	98
ENSG00000221337.1	AC099537.1	chr3	41649256	41649337	+	miRNA	NOVEL	NA	82	82	1
ENSG00000252409.1	SCARNA21	chr3	41687868	41688033	-	scaRNA	NOVEL	NA	166	166	1
ENSG00000222942.1	RN7SKP58	chr3	41766615	41766919	-	misc_RNA	KNOWN	NA	305	305	1
ENSG00000223513.1	ATP6V0E1P2	chr3	41859350	41859594	-	processed_pseudogene	KNOWN	OTTHUMG00000156188.1	245	245	1
ENSG00000251986.1	Y_RNA	chr3	41868998	41869095	-	misc_RNA	NOVEL	NA	98	98	1
ENSG00000212145.2	U8	chr3	41899111	41899253	-	snoRNA	NOVEL	NA	143	143	1
ENSG00000232768.1	RP11-201O14.2	chr1	31050872	31051034	+	processed_pseudogene	KNOWN	OTTHUMG00000003789.1	163	163	1
ENSG00000234270.1	RPL36P20	chr3	41955445	41955763	+	processed_pseudogene	KNOWN	OTTHUMG00000156199.1	319	319	1
ENSG00000235339.1	GEMIN2P2	chr3	41977008	41978034	+	processed_pseudogene	KNOWN	OTTHUMG00000156200.2	1027	715	2
ENSG00000182606.13	TRAK1	chr3	42013802	42225889	+	protein_coding	KNOWN	OTTHUMG00000131795.8	212088	10992	111
ENSG00000229339.1	RP11-193I22.2	chr3	42051181	42051694	-	processed_pseudogene	KNOWN	OTTHUMG00000156198.1	514	514	1
ENSG00000234562.1	TPMTP2	chr3	42145646	42146371	-	processed_pseudogene	KNOWN	OTTHUMG00000156196.1	726	726	1
ENSG00000222872.1	RNU4-78P	chr3	42221840	42221965	+	snRNA	KNOWN	NA	126	126	1
ENSG00000187094.10	CCK	chr3	42257825	42266207	-	protein_coding	KNOWN	OTTHUMG00000131796.2	8383	2085	13
ENSG00000281160.1	RP11-333B11.1	chr3	42264989	42266390	+	antisense	NOVEL	OTTHUMG00000189593.1	1402	1402	1
ENSG00000231280.1	SALL4P6	chr3	42321005	42322695	+	processed_pseudogene	KNOWN	OTTHUMG00000156186.1	1691	1691	1
ENSG00000229572.1	EIF4BP4	chr3	42340588	42342367	+	processed_pseudogene	KNOWN	OTTHUMG00000156187.1	1780	1780	1
ENSG00000215900.4	SEPW1P	chr1	31094987	31095558	-	processed_pseudogene	KNOWN	OTTHUMG00000008500.2	572	252	2
ENSG00000157093.7	LYZL4	chr3	42397078	42410600	-	protein_coding	KNOWN	OTTHUMG00000131793.2	13523	1013	15
ENSG00000239181.1	AC092048.1	chr3	42422146	42422238	-	miRNA	NOVEL	NA	93	93	1
ENSG00000235787.1	RP11-219I21.1	chr3	42469640	42469879	+	processed_pseudogene	KNOWN	OTTHUMG00000156170.2	240	240	1
ENSG00000114812.11	VIPR1	chr3	42489299	42537573	+	protein_coding	KNOWN	OTTHUMG00000131792.7	48275	7384	119
ENSG00000232354.6	VIPR1-AS1	chr3	42506465	42533258	-	antisense	NOVEL	OTTHUMG00000156181.5	26794	5197	189
ENSG00000093183.12	SEC22C	chr3	42547969	42601080	-	protein_coding	KNOWN	OTTHUMG00000131797.2	53112	8159	86
ENSG00000008324.9	SS18L2	chr3	42581840	42595114	+	protein_coding	KNOWN	OTTHUMG00000131794.2	13275	1301	9
ENSG00000114857.16	NKTR	chr3	42600614	42648741	+	protein_coding	KNOWN	OTTHUMG00000133037.21	48128	17356	128
ENSG00000230084.4	RP4-613B23.1	chr3	42601963	42654388	-	antisense	NOVEL	OTTHUMG00000156209.1	52426	785	9
ENSG00000114853.12	ZBTB47	chr3	42653684	42665854	+	protein_coding	KNOWN	OTTHUMG00000156207.4	12171	3781	13
ENSG00000225142.2	RP11-490K7.1	chr1	31108188	31108623	-	processed_pseudogene	KNOWN	OTTHUMG00000003786.2	436	436	1
ENSG00000240203.3	RN7SL567P	chr3	42676189	42676491	-	misc_RNA	KNOWN	NA	303	303	1
ENSG00000157119.11	KLHL40	chr3	42685519	42692544	+	protein_coding	KNOWN	OTTHUMG00000133045.4	7026	2517	6
ENSG00000244607.4	CCDC13	chr3	42692663	42773253	-	protein_coding	KNOWN	OTTHUMG00000133046.3	80591	4966	48
ENSG00000010282.13	HHATL	chr3	42692663	42702827	-	protein_coding	KNOWN	OTTHUMG00000133043.3	10165	2891	71
ENSG00000230970.3	HHATL-AS1	chr3	42702653	42706776	+	antisense	NOVEL	OTTHUMG00000156258.3	4124	1331	7
ENSG00000173811.9	CCDC13-AS1	chr3	42732575	42746768	+	antisense	NOVEL	OTTHUMG00000156256.1	14194	2164	7
ENSG00000280571.1	RP4-613B23.5	chr3	42757177	42804518	-	protein_coding	KNOWN	OTTHUMG00000156277.4	47342	602	5
ENSG00000225611.1	RP11-70C1.1	chr3	42770612	42773635	+	antisense	NOVEL	OTTHUMG00000156257.1	3024	897	2
ENSG00000181061.12	HIGD1A	chr3	42784298	42804531	-	protein_coding	KNOWN	OTTHUMG00000190394.1	20234	1675	19
ENSG00000235288.2	RP11-70C1.3	chr3	42785087	42852428	-	antisense	NOVEL	OTTHUMG00000156432.2	67342	1956	8
ENSG00000084628.8	NKAIN1	chr1	31179745	31239554	-	protein_coding	KNOWN	OTTHUMG00000003788.3	59810	2987	21
ENSG00000144648.13	ACKR2	chr3	42804752	42887974	+	protein_coding	KNOWN	OTTHUMG00000186377.3	83223	5469	40
ENSG00000273328.4	RP11-141M3.6	chr3	42809414	42908105	+	processed_transcript	NOVEL	OTTHUMG00000189111.1	98692	3933	13
ENSG00000273291.4	RP11-136C24.3	chr3	42809446	43055871	+	protein_coding	NOVEL	OTTHUMG00000156448.9	246426	1654	22
ENSG00000240747.6	KRBOX1	chr3	42809483	42942792	+	protein_coding	KNOWN	OTTHUMG00000186062.1	133310	2943	19
ENSG00000180432.5	CYP8B1	chr3	42856005	42876165	-	protein_coding	KNOWN	OTTHUMG00000133047.2	20161	4441	3
ENSG00000236459.1	HNRNPA1P22	chr3	42889361	42890306	+	processed_pseudogene	KNOWN	OTTHUMG00000156284.1	946	946	1
ENSG00000182983.13	ZNF662	chr3	42905731	42917641	+	protein_coding	KNOWN	OTTHUMG00000133041.6	11911	5070	18
ENSG00000281085.1	AC092043.1	chr3	42927565	42927697	-	miRNA	NOVEL	NA	133	133	1
ENSG00000206552.4	KRBOX1-AS1	chr3	42934252	42936785	-	antisense	NOVEL	OTTHUMG00000156447.1	2534	2134	2
ENSG00000144649.7	FAM198A	chr3	42979267	43060211	+	protein_coding	KNOWN	OTTHUMG00000156449.4	80945	4411	20
ENSG00000060688.11	SNRNP40	chr1	31259568	31296782	-	protein_coding	KNOWN	OTTHUMG00000003790.2	37215	3881	29
ENSG00000232375.1	RP11-136C24.1	chr3	43037121	43037451	+	unprocessed_pseudogene	KNOWN	OTTHUMG00000156457.1	331	331	1
ENSG00000144647.5	POMGNT2	chr3	43079232	43106076	-	protein_coding	KNOWN	OTTHUMG00000133038.2	26845	2668	5
