"ProteinGroup","ProteinName","Genes","UniprotID"
"Q9NXG2","THUM1_HUMAN","THUMPD1","Q9NXG2"
"P68366;Q6PEY2;Q9NY65","TBA3E_HUMAN;TBA4A_HUMAN;TBA8_HUMAN","TUBA3E;TUBA4A;TUBA8","Q71U36;Q9NY65;P0DPH7;P68366;P0DPH8;P68363;Q6PEY2"
"P68366;Q9NY65","TBA4A_HUMAN;TBA8_HUMAN","TUBA4A;TUBA8","Q71U36;Q9NY65;P0DPH7;P68366;P0DPH8;P68363"
"Q9BQE3","TBA1C_HUMAN","TUBA1C","Q9BQE3"
"Q99442","SEC62_HUMAN","SEC62","Q99442"
"O92972;P26662;Q00269;Q913V3","POLG_HCVJ4;POLG_HCVJA;POLG_HCVJT;POLG_HCVR6","","Q913V3;O92972;P26662;Q00269"
"Q9Y2U8","MAN1_HUMAN","LEMD3","Q9Y2U8"
"P20339","RAB5A_HUMAN","RAB5A","P20339"
"P09104","ENOG_HUMAN","ENO2","P09104"
"O75475","PSIP1_HUMAN","PSIP1","O75475"
"O94973","AP2A2_HUMAN","AP2A2","O94973"
"Q9BRK5","CAB45_HUMAN","SDF4","Q9BRK5"
"Q99848","EBP2_HUMAN","EBNA1BP2","Q99848"
"Q8TEM1","PO210_HUMAN","NUP210","Q8TEM1"
"P25705","ATPA_HUMAN","ATP5F1A","P25705"
"Q8IY21","DDX60_HUMAN","DDX60","Q8IY21"
"Q9NPH0","PPA6_HUMAN","ACP6","Q9NPH0"
"P45974","UBP5_HUMAN","USP5","P45974"
"Q15046","SYK_HUMAN","KARS1","Q15046"
"Q5JRX3","PREP_HUMAN","PITRM1","Q5JRX3"
"Q08722","CD47_HUMAN","CD47","Q08722"
"P51148","RAB5C_HUMAN","RAB5C","P51148"
"Q7Z3U7","MON2_HUMAN","MON2","Q7Z3U7"
"Q9H082","RB33B_HUMAN","RAB33B","Q9H082"
"P55983","RIR2_HELPY","nrdB","P55983"
"Q9NRS4","TMPS4_HUMAN","TMPRSS4","Q9NRS4"
"O75439","MPPB_HUMAN","PMPCB","O75439"
"Q14966","ZN638_HUMAN","ZNF638","Q14966"
"P54289","CA2D1_HUMAN","CACNA2D1","P54289"
"P29401","TKT_HUMAN","TKT","P29401"
"O60826","CCD22_HUMAN","CCDC22","O60826"
"Q96JB5","CK5P3_HUMAN","CDK5RAP3","Q96JB5"
"P09132","SRP19_HUMAN","SRP19","P09132"
"O14737","PDCD5_HUMAN","PDCD5","O14737"
"Q9UL45","BL1S6_HUMAN","BLOC1S6","Q9UL45"
"Q86W92","LIPB1_HUMAN","PPFIBP1","Q86W92"
"P78560","CRADD_HUMAN","CRADD","P78560"
"Q9UHY1","NRBP_HUMAN","NRBP1","Q9UHY1"
"Q14956","GPNMB_HUMAN","GPNMB","Q14956"
"Q9P299","COPZ2_HUMAN","COPZ2","Q9P299"
"Q53T59","H1BP3_HUMAN","HS1BP3","Q53T59"
"Q2M389","WASC4_HUMAN","WASHC4","Q2M389"
"O00139","KIF2A_HUMAN","KIF2A","O00139"
"Q9BVJ7","DUS23_HUMAN","DUSP23","Q9BVJ7"
"Q6L8Q7","PDE12_HUMAN","PDE12","Q6L8Q7"
"P68366","TBA4A_HUMAN","TUBA4A","P68366"
"Q9BQE3","TBA1C_HUMAN","TUBA1C","Q71U36;Q9BQE3;P68363"
"Q9NWV8","BABA1_HUMAN","BABAM1","Q9NWV8"
"P00738;P00739","HPTR_HUMAN;HPT_HUMAN","HP;HPR","P00739;P00738"
"Q14376","GALE_HUMAN","GALE","Q14376"
"Q32P28","P3H1_HUMAN","P3H1","Q32P28"
"Q9P121","NTRI_HUMAN","NTM","Q9P121"
"O14980","XPO1_HUMAN","XPO1","O14980"
"Q8TBF2","PXL2B_HUMAN","PRXL2B","Q8TBF2"
"Q86VN1","VPS36_HUMAN","VPS36","Q86VN1"
"P61513","RL37A_HUMAN","RPL37A","P61513"
"Q13825","AUHM_HUMAN","AUH","Q13825"
"O43653","PSCA_HUMAN","PSCA","O43653"
"Q92538","GBF1_HUMAN","GBF1","Q92538"
"O95218","ZRAB2_HUMAN","ZRANB2","O95218"
"P07738","PMGE_HUMAN","BPGM","P07738"
"Q8WW52","F151A_HUMAN","FAM151A","Q8WW52"
"Q07352","TISB_HUMAN","ZFP36L1","Q07352"
"Q13596","SNX1_HUMAN","SNX1","Q13596"
"Q93084","AT2A3_HUMAN","ATP2A3","Q93084"
"P61457","PHS_HUMAN","PCBD1","P61457"
"Q9UFN0","NPS3A_HUMAN","NIPSNAP3A","Q9UFN0"
"Q9H4Z3","CAPAM_HUMAN","PCIF1","Q9H4Z3"
"P14780","MMP9_HUMAN","MMP9","P14780"
"O95407","TNF6B_HUMAN","TNFRSF6B","O95407"
"P0DN76;Q01081","U2AF1_HUMAN;U2AF5_HUMAN","U2AF1;U2AF1L5","Q01081;P0DN76"
"P60981","DEST_HUMAN","DSTN","P60981"
"Q9UKU7","ACAD8_HUMAN","ACAD8","Q9UKU7"
"P20702","ITAX_HUMAN","ITGAX","Q13349;P20702"
"Q02978","M2OM_HUMAN","SLC25A11","Q02978"
"Q92876","KLK6_HUMAN","KLK6","Q92876"
"Q9Y692","GMEB1_HUMAN","GMEB1","Q9Y692"
"Q96IJ6","GMPPA_HUMAN","GMPPA","Q96IJ6"
"Q9UIJ7","KAD3_HUMAN","AK3","Q9UIJ7"
"Q8IV36","HID1_HUMAN","HID1","Q8IV36"
"P06681","CO2_HUMAN","C2","P06681"
"P53992","SC24C_HUMAN","SEC24C","P53992"
"Q96FQ6","S10AG_HUMAN","S100A16","Q96FQ6"
"Q86UT6","NLRX1_HUMAN","NLRX1","Q86UT6"
"P60763;P63000","RAC1_HUMAN;RAC3_HUMAN","RAC1;RAC3","P60763;P63000"
"P15153","RAC2_HUMAN","RAC2","P15153"
"P46821;P78559","MAP1A_HUMAN;MAP1B_HUMAN","MAP1A;MAP1B","P46821;P78559"
"Q86WU2","LDHD_HUMAN","LDHD","Q86WU2"
"Q92890","UFD1_HUMAN","UFD1","Q92890"
"Q9NZL9","MAT2B_HUMAN","MAT2B","Q9NZL9"
"Q6ZMI0","PPR21_HUMAN","PPP1R21","Q6ZMI0"
"Q9Y281","COF2_HUMAN","CFL2","Q9Y281"
"P23528","COF1_HUMAN","CFL1","P23528"
"Q15738","NSDHL_HUMAN","NSDHL","Q15738"
"Q12959","DLG1_HUMAN","DLG1","Q12959"
"P06744","G6PI_HUMAN","GPI","P06744"
"Q9BT73","PSMG3_HUMAN","PSMG3","Q9BT73"
"P23258;Q9NRH3","TBG1_HUMAN;TBG2_HUMAN","TUBG1;TUBG2","Q9NRH3;P23258"
"Q8TE73","DYH5_HUMAN","DNAH5","Q8TE73"
"Q16816","PHKG1_HUMAN","PHKG1","Q16816"
"Q9P2J5","SYLC_HUMAN","LARS1","Q9P2J5"
"Q15436;Q15437","SC23A_HUMAN;SC23B_HUMAN","SEC23A;SEC23B","Q15436;Q15437"
"Q15437","SC23B_HUMAN","SEC23B","Q15436;Q15437"
"P84095","RHOG_HUMAN","RHOG","P84095"
"Q6IBS0","TWF2_HUMAN","TWF2","Q6IBS0"
"Q9Y394","DHRS7_HUMAN","DHRS7","Q9Y394"
"Q96HE7","ERO1A_HUMAN","ERO1A","Q96HE7"
"P50454","SERPH_HUMAN","SERPINH1","P50454"
"Q9NQT4","EXOS5_HUMAN","EXOSC5","Q9NQT4"
"P01009","A1AT_HUMAN","SERPINA1","P01009"
"Q8IW45","NNRD_HUMAN","NAXD","Q8IW45"
"P04350;P68371;Q3ZCM7","TBB4A_HUMAN;TBB4B_HUMAN;TBB8_HUMAN","TUBB4A;TUBB4B;TUBB8","Q3ZCM7;P04350;P68371"
"Q02338","BDH_HUMAN","BDH1","Q02338"
"P49757","NUMB_HUMAN","NUMB","P49757"
"Q8N0X4","CLYBL_HUMAN","CLYBL","Q8N0X4"
"O95757","HS74L_HUMAN","HSPA4L","O95757"
"Q6IA69","NADE_HUMAN","NADSYN1","Q6IA69"
"Q9NY65","TBA8_HUMAN","TUBA8","Q9NY65"
"O60568","PLOD3_HUMAN","PLOD3","O60568"
"Q9UHR4","BI2L1_HUMAN","BAIAP2L1","Q9UHR4"
"Q14324","MYPC2_HUMAN","MYBPC2","Q14324"
"O43752","STX6_HUMAN","STX6","O43752"
"O60749","SNX2_HUMAN","SNX2","O60749"
"Q6P587","FAHD1_HUMAN","FAHD1","Q6P587"
"Q9UHI8","ATS1_HUMAN","ADAMTS1","Q9UHI8"
"P43490","NAMPT_HUMAN","NAMPT","P43490"
"Q9Y597","KCTD3_HUMAN","KCTD3","Q9Y597"
"Q96GD0","PLPP_HUMAN","PDXP","Q96GD0"
"P00746","CFAD_HUMAN","CFD","P00746"
"Q13151","ROA0_HUMAN","HNRNPA0","Q13151"
"Q86W42","THOC6_HUMAN","THOC6","Q86W42"
"Q8NEB9","PK3C3_HUMAN","PIK3C3","Q8NEB9"
"Q6P996","PDXD1_HUMAN","PDXDC1","Q6P996"
"Q8WVQ1","CANT1_HUMAN","CANT1","Q8WVQ1"
"O14662","STX16_HUMAN","STX16","O14662"
"Q8WWM9","CYGB_HUMAN","CYGB","Q8WWM9"
"Q6ZMZ3","SYNE3_HUMAN","SYNE3","Q6ZMZ3"
"Q6PIF6","MYO7B_HUMAN","MYO7B","Q6PIF6"
"P42126","ECI1_HUMAN","ECI1","P42126"
"Q9NR46;Q9Y371","SHLB1_HUMAN;SHLB2_HUMAN","SH3GLB1;SH3GLB2","Q9Y371;Q9NR46"
"P16452","EPB42_HUMAN","EPB42","P16452"
"Q8IWA4","MFN1_HUMAN","MFN1","Q8IWA4"
"Q7L5N7","PCAT2_HUMAN","LPCAT2","Q7L5N7"
"P00918","CAH2_HUMAN","CA2","P00918"
"Q9P0M2","AKA7G_HUMAN","AKAP7","Q9P0M2"
"Q9UBC5","MYO1A_HUMAN","MYO1A","Q9UBC5"
"Q13619","CUL4A_HUMAN","CUL4A","Q13619"
"Q13835","PKP1_HUMAN","PKP1","Q13835"
"P04004","VTNC_HUMAN","VTN","P04004"
"Q969X1","LFG3_HUMAN","TMBIM1","Q969X1"
"Q9HB21","PKHA1_HUMAN","PLEKHA1","Q9HB21"
"Q9Y2W2","WBP11_HUMAN","WBP11","Q9Y2W2"
"Q12824","SNF5_HUMAN","SMARCB1","Q12824"
"P05164","PERM_HUMAN","MPO","P05164"
"Q5VTR2","BRE1A_HUMAN","RNF20","Q5VTR2"
"O15075","DCLK1_HUMAN","DCLK1","O15075"
"Q24JP5","T132A_HUMAN","TMEM132A","Q24JP5"
"Q86TM6","SYVN1_HUMAN","SYVN1","Q86TM6"
"P79483","DRB3_HUMAN","HLA-DRB3","P79483"
"Q04917","1433F_HUMAN","YWHAH","Q04917"
"P11940;Q13310;Q4VXU2;Q9H361","PABP1_HUMAN;PABP3_HUMAN;PABP4_HUMAN;PAP1L_HUMAN","PABPC1;PABPC1L;PABPC3;PABPC4","P11940;Q9H361;Q13310;Q4VXU2"
"P27348","1433T_HUMAN","YWHAQ","P27348"
"P31946","1433B_HUMAN","YWHAB","P31946"
"Q99961","SH3G1_HUMAN","SH3GL1","Q99961"
"Q13325","IFIT5_HUMAN","IFIT5","Q13325"
"P15088","CBPA3_HUMAN","CPA3","P15088"
"Q86UW6","N4BP2_HUMAN","N4BP2","Q86UW6"
"P01920","DQB1_HUMAN","HLA-DQB1","P01920"
"P49746","TSP3_HUMAN","THBS3","P49746"
"Q9HAV4","XPO5_HUMAN","XPO5","Q9HAV4"
"Q9BT22","ALG1_HUMAN","ALG1","Q9BT22"
"P05154","IPSP_HUMAN","SERPINA5","P05154"
"Q9NRZ9","HELLS_HUMAN","HELLS","Q9NRZ9"
"P08637","FCG3A_HUMAN","FCGR3A","P08637"
"O75015","FCG3B_HUMAN","FCGR3B","O75015"
"P47929","LEG7_HUMAN","LGALS7B","P47929"
"P21281","VATB2_HUMAN","ATP6V1B2","P21281"
"P15313","VATB1_HUMAN","ATP6V1B1","P15313"
"Q13685","AAMP_HUMAN","AAMP","Q13685"
"P61916","NPC2_HUMAN","NPC2","P61916"
"Q13011","ECH1_HUMAN","ECH1","Q13011"
"P23246;Q15233","NONO_HUMAN;SFPQ_HUMAN","NONO;SFPQ","P23246;Q15233"
"Q9HCJ6","VAT1L_HUMAN","VAT1L","Q9HCJ6"
"P20645","MPRD_HUMAN","M6PR","P20645"
"Q93034","CUL5_HUMAN","CUL5","Q93034"
"Q9BTZ2","DHRS4_HUMAN","DHRS4","Q6PKH6;P0CG22;Q9BTZ2"
"Q9NPA0","EMC7_HUMAN","EMC7","Q9NPA0"
"P32929","CGL_HUMAN","CTH","P32929"
"Q96KN8","PLAT5_HUMAN","PLAAT5","Q96KN8"
"Q5GFL6","VWA2_HUMAN","VWA2","Q5GFL6"
"Q8TCT8","SPP2A_HUMAN","SPPL2A","Q8TCT8"
"P23368;Q16798","MAOM_HUMAN;MAON_HUMAN","ME2;ME3","Q16798;P23368"
"P63096","GNAI1_HUMAN","GNAI1","P63096"
"Q9UL15","BAG5_HUMAN","BAG5","Q9UL15"
"Q8WXX5","DNJC9_HUMAN","DNAJC9","Q8WXX5"
"Q96MW1","CCD43_HUMAN","CCDC43","Q96MW1"
"P0CG30;P30711","GSTT1_HUMAN;GSTT2_HUMAN","GSTT1;GSTT2B","P30711;P0CG29;P0CG30"
"Q9BVG4","PBDC1_HUMAN","PBDC1","Q9BVG4"
"P24593","IBP5_HUMAN","IGFBP5","P24593"
"O15438","MRP3_HUMAN","ABCC3","O15438"
"Q00722","PLCB2_HUMAN","PLCB2","Q00722"
"O43278","SPIT1_HUMAN","SPINT1","O43278"
"Q7Z4I7","LIMS2_HUMAN","LIMS2","Q7Z4I7"
"O75915","PRAF3_HUMAN","ARL6IP5","O75915"
"Q9NUQ9","CYRIB_HUMAN","CYRIB","Q9NUQ9"
"Q9BZV1","UBXN6_HUMAN","UBXN6","Q9BZV1"
"Q5VT79","AXA81_HUMAN","ANXA8L1","Q5VT79"
"P48739;Q00169","PIPNA_HUMAN;PIPNB_HUMAN","PITPNA;PITPNB","P48739;Q00169"
"O43252","PAPS1_HUMAN","PAPSS1","O43252"
"P43487","RANG_HUMAN","RANBP1","P43487"
"Q96RK4","BBS4_HUMAN","BBS4","Q96RK4"
"Q5EG65","POLG_HCVGL","","Q5EG65"
"Q13057","COASY_HUMAN","COASY","Q13057"
"Q12913","PTPRJ_HUMAN","PTPRJ","Q12913"
"Q15654","TRIP6_HUMAN","TRIP6","Q15654"
"Q93052","LPP_HUMAN","LPP","Q93052"
"Q9NR50","EI2BG_HUMAN","EIF2B3","Q9NR50"
"Q16798","MAON_HUMAN","ME3","Q16798"
"Q16740","CLPP_HUMAN","CLPP","Q16740"
"Q01524","DEF6_HUMAN","DEFA6","Q01524"
"P13928;Q5VT79","ANXA8_HUMAN;AXA81_HUMAN","ANXA8;ANXA8L1","P13928;Q5VT79"
"Q8N436","CPXM2_HUMAN","CPXM2","Q8N436"
"Q9Y6N6","LAMC3_HUMAN","LAMC3","Q9Y6N6"
"P53701","CCHL_HUMAN","HCCS","P53701"
"P13797;Q14651","PLSI_HUMAN;PLST_HUMAN","PLS1;PLS3","P13797;Q14651"
"O14602;P47813","IF1AX_HUMAN;IF1AY_HUMAN","EIF1AX;EIF1AY","O14602;P47813"
"P05026","AT1B1_HUMAN","ATP1B1","P05026"
"Q99622","C10_HUMAN","C12orf57","Q99622"
"A0A0A0MS15","HV349_HUMAN","IGHV3-49","A0A0A0MS15"
"Q06141","REG3A_HUMAN","REG3A","Q06141"
"P68366;Q6PEY2","TBA3E_HUMAN;TBA4A_HUMAN","TUBA3E;TUBA4A","Q71U36;P0DPH7;P68366;P0DPH8;P68363;Q6PEY2"
"Q15942","ZYX_HUMAN","ZYX","Q15942"
"Q9H845","ACAD9_HUMAN","ACAD9","Q9H845"
"Q8IWU6","SULF1_HUMAN","SULF1","Q8IWU6"
"Q15637","SF01_HUMAN","SF1","Q15637"
"Q9C005","DPY30_HUMAN","DPY30","Q9C005"
"Q9NQC3","RTN4_HUMAN","RTN4","Q9NQC3"
"P51398","RT29_HUMAN","DAP3","P51398"
"O15145","ARPC3_HUMAN","ARPC3","O15145"
"O94855;P53992","SC24C_HUMAN;SC24D_HUMAN","SEC24C;SEC24D","O94855;P53992"
"Q03692","COAA1_HUMAN","COL10A1","Q03692"
"O14773","TPP1_HUMAN","TPP1","O14773"
"Q9BTU6","P4K2A_HUMAN","PI4K2A","Q9BTU6"
"Q9NUB1","ACS2L_HUMAN","ACSS1","Q9NUB1"
"O14949","QCR8_HUMAN","UQCRQ","O14949"
"P55769","NH2L1_HUMAN","SNU13","P55769"
"Q99541","PLIN2_HUMAN","PLIN2","Q99541"
"P02743","SAMP_HUMAN","APCS","P02743"
"Q15056","IF4H_HUMAN","EIF4H","Q15056"
"P14598","NCF1_HUMAN","NCF1","A8MVU1;A6NI72;P14598"
"Q6BCY4","NB5R2_HUMAN","CYB5R2","Q6BCY4"
"Q9UFG5","CS025_HUMAN","C19orf25","Q9UFG5"
"O43451;Q2M2H8","MGAL_HUMAN;MGA_HUMAN","MGAM;MGAM2","O43451;Q2M2H8"
"Q14108","SCRB2_HUMAN","SCARB2","Q14108"
"P62750","RL23A_HUMAN","RPL23A","P62750"
"Q12873;Q14839","CHD3_HUMAN;CHD4_HUMAN","CHD3;CHD4","Q8TDI0;Q14839;Q12873"
